concept_id,code,source,datatype,source_code
84360,10109,RxNORM,N/A,10109RxNORM
84309,108690008,"SNOMED CT",N/A,"108690008SNOMED CT"
83412,108693005,"SNOMED CT",N/A,"108693005SNOMED CT"
78643,108698001,"SNOMED CT",N/A,"108698001SNOMED CT"
80586,108704001,"SNOMED CT",N/A,"108704001SNOMED CT"
86663,11413,RxNORM,N/A,11413RxNORM
75523,116078005,"SNOMED CT",N/A,"116078005SNOMED CT"
84795,117466,RxNORM,N/A,117466RxNORM
79040,129475001,"SNOMED CT",N/A,"129475001SNOMED CT"
1305,13051000105000,"SNOMED MVP",Coded,"13051000105000SNOMED MVP"
1305,1305,AMPATH,Coded,1305AMPATH
1305,1305,CIEL,Coded,1305CIEL
82900,13592004,"SNOMED CT",N/A,"13592004SNOMED CT"
75523,195085,RxNORM,N/A,195085RxNORM
79040,195088,RxNORM,N/A,195088RxNORM
70057,221052,RxNORM,N/A,221052RxNORM
78280,2226,AMPATH,N/A,2226AMPATH
78280,2227,AMPATH,N/A,2227AMPATH
78280,2228,AMPATH,N/A,2228AMPATH
78280,2229,AMPATH,N/A,2229AMPATH
78280,2230,AMPATH,N/A,2230AMPATH
75948,24450004,"SNOMED CT",N/A,"24450004SNOMED CT"
856,25836-8,LOINC,Numeric,25836-8LOINC
86663,27479000,"SNOMED CT",N/A,"27479000SNOMED CT"
767,29175007,"SNOMED CT",N/A,"29175007SNOMED CT"
856,315124004,"SNOMED CT",Numeric,"315124004SNOMED CT"
1305,315124004,"SNOMED NP",Coded,"315124004SNOMED NP"
71648,358299,RxNORM,N/A,358299RxNORM
767,387159009,"SNOMED NP",N/A,"387159009SNOMED NP"
84795,395264002,"SNOMED CT",N/A,"395264002SNOMED CT"
71648,404837001,"SNOMED CT",N/A,"404837001SNOMED CT"
84360,40877002,"SNOMED CT",N/A,"40877002SNOMED CT"
75948,4110,RxNORM,N/A,4110RxNORM
70057,412075008,"SNOMED CT",N/A,"412075008SNOMED CT"
84360,438,AMPATH,N/A,438AMPATH
84360,438,PIH,N/A,438PIH
80586,53654,RxNORM,N/A,53654RxNORM
82900,5829,AMPATH,N/A,5829AMPATH
84309,59763,RxNORM,N/A,59763RxNORM
78280,6038,RxNORM,N/A,6038RxNORM
86663,623,AMPATH,N/A,623AMPATH
84309,625,AMPATH,N/A,625AMPATH
84309,626,AMPATH,N/A,626AMPATH
78643,628,AMPATH,N/A,628AMPATH
78643,629,AMPATH,N/A,629AMPATH
80586,631,AMPATH,N/A,631AMPATH
80586,632,AMPATH,N/A,632AMPATH
75523,633,AMPATH,N/A,633AMPATH
78280,656,AMPATH,N/A,656AMPATH
78280,656,PIH,N/A,656PIH
78643,68244,RxNORM,N/A,68244RxNORM
70057,70057,CIEL,N/A,70057CIEL
71648,71648,CIEL,N/A,71648CIEL
75948,745,AMPATH,N/A,745AMPATH
75948,745,PIH,N/A,745PIH
78280,750,AMPATH,N/A,750AMPATH
75523,75523,CIEL,N/A,75523CIEL
75948,75948,CIEL,N/A,75948CIEL
767,767,AMPATH,N/A,767AMPATH
767,767,CIEL,N/A,767CIEL
78280,78280,CIEL,N/A,78280CIEL
78643,78643,CIEL,N/A,78643CIEL
79040,79040,CIEL,N/A,79040CIEL
83412,795,AMPATH,N/A,795AMPATH
86663,797,AMPATH,N/A,797AMPATH
84795,802,AMPATH,N/A,802AMPATH
80586,80586,CIEL,N/A,80586CIEL
78280,81335000,"SNOMED CT",N/A,"81335000SNOMED CT"
82900,82900,CIEL,N/A,82900CIEL
83412,83412,CIEL,N/A,83412CIEL
84309,84309,CIEL,N/A,84309CIEL
84360,84360,CIEL,N/A,84360CIEL
84795,84795,CIEL,N/A,84795CIEL
856,856,AMPATH,Numeric,856AMPATH
856,856,CIEL,Numeric,856CIEL
83412,85762,RxNORM,N/A,85762RxNORM
86663,86663,CIEL,N/A,86663CIEL
82900,8987,RxNORM,N/A,8987RxNORM
856,929811,"IMO ProcedureIT",Numeric,"929811IMO ProcedureIT"
767,9384,RxNORM,N/A,9384RxNORM
75948,ETHAMBUTOL,org.openmrs.module.mdrtb,N/A,ETHAMBUTOLorg.openmrs.module.mdrtb
78280,ISONIAZID,org.openmrs.module.mdrtb,N/A,ISONIAZIDorg.openmrs.module.mdrtb
82900,PYRAZINAMIDE,org.openmrs.module.mdrtb,N/A,PYRAZINAMIDEorg.openmrs.module.mdrtb
767,RIFAMPICIN,org.openmrs.module.mdrtb,N/A,RIFAMPICINorg.openmrs.module.mdrtb
84360,STREPTOMYCIN,org.openmrs.module.mdrtb,N/A,STREPTOMYCINorg.openmrs.module.mdrtb
