concept_id,code,source,datatype,amrs_id,amrs_datatype
42,42,AMPATH,Boolean,42,N/A
56,56,AMPATH,Text,56,Coded
302,302,AMPATH,Coded,302,N/A
307,2310,AMPATH,Coded,2310,N/A
460,460,AMPATH,Coded,460,N/A
512,512,AMPATH,Coded,512,N/A
832,832,AMPATH,Boolean,832,N/A
871,871,AMPATH,Coded,871,N/A
882,5352,AMPATH,N/A,5352,Numeric
975,2042,AMPATH,Boolean,2042,N/A
1149,1149,AMPATH,Coded,1149,N/A
1169,1169,AMPATH,Coded,1169,N/A
1170,1170,AMPATH,Coded,1170,N/A
1282,1282,AMPATH,Coded,1282,N/A
1284,1284,AMPATH,Coded,1284,N/A
1288,1288,AMPATH,Coded,1288,N/A
1360,1360,CIEL,Boolean,8356,N/A
1362,1362,CIEL,Boolean,2301,N/A
1363,1363,CIEL,Boolean,2074,N/A
1364,1364,CIEL,Boolean,2075,N/A
1434,1434,CIEL,Boolean,1484,N/A
1494,1494,CIEL,Boolean,6173,N/A
1652,1652,CIEL,Boolean,6467,N/A
1714,1714,CIEL,Boolean,6215,N/A
1855,1855,CIEL,Boolean,9070,Coded
1859,1859,CIEL,Coded,8550,N/A
5272,44,AMPATH,Coded,44,N/A
5303,5054,AMPATH,Coded,5054,Numeric
5355,5355,AMPATH,Boolean,5355,Numeric
5483,5483,AMPATH,Boolean,5483,Coded
5487,2223,AMPATH,Boolean,2223,Coded
5488,1687,AMPATH,Numeric,1687,N/A
5489,5489,AMPATH,N/A,5489,Numeric
5490,5490,AMPATH,N/A,5490,Numeric
5576,2198,AMPATH,Boolean,2198,Coded
5599,5599,AMPATH,Datetime,5599,Date
6004,6004,AMPATH,Coded,6004,N/A
6032,6032,AMPATH,Coded,6032,N/A
6046,6046,AMPATH,Coded,6046,N/A
112141,112141,CIEL,Coded,58,N/A
119481,119481,CIEL,Coded,175,N/A
121375,121375,CIEL,Coded,5,N/A
122983,122983,CIEL,Coded,5980,N/A
127750,127750,CIEL,Boolean,1958,N/A
132652,132652,CIEL,N/A,1480,Coded
133027,133027,CIEL,Boolean,6029,N/A
140501,140501,CIEL,Boolean,5949,N/A
142177,142177,CIEL,Boolean,6971,N/A
142412,142412,CIEL,Coded,16,N/A
145802,145802,CIEL,Coded,5159,Boolean
147232,147232,CIEL,Coded,1489,N/A
150915,150915,CIEL,Coded,2185,N/A
159382,159382,CIEL,Coded,8360,N/A
159940,159940,CIEL,N/A,2047,Coded
159951,159951,CIEL,Datetime,10253,Date
160429,160429,CIEL,Boolean,8701,Coded
160566,160566,CIEL,Boolean,8296,N/A
160569,160569,CIEL,Boolean,8297,N/A
160579,160579,CIEL,Coded,1832,N/A
160580,160580,CIEL,Coded,8290,N/A
161651,161651,CIEL,Coded,1368,Boolean
162053,162053,CIEL,Numeric,9775,Text
162056,162056,CIEL,Coded,8538,N/A
162057,162057,CIEL,Coded,8539,N/A
162058,162058,CIEL,Coded,8540,N/A
162059,162059,CIEL,Coded,8541,N/A
162060,162060,CIEL,Coded,8544,N/A
162061,162061,CIEL,Coded,8542,N/A
162062,162062,CIEL,Coded,8543,N/A
162095,162095,CIEL,Boolean,6746,Coded
162140,162140,CIEL,Datetime,10070,Date
