concept_id,code,source,datatype,source_code
79409,05,"HL-7 CVX",N/A,"05HL-7 CVX"
83563,06,"HL-7 CVX",N/A,"06HL-7 CVX"
72218,10020007,"SNOMED CT",N/A,"10020007SNOMED CT"
161926,1002,PIH,N/A,1002PIH
74821,100360006,"SNOMED CT",N/A,"100360006SNOMED CT"
104567,1008145,RxNORM,N/A,1008145RxNORM
84359,10106,RxNORM,N/A,10106RxNORM
84360,10109,RxNORM,N/A,10109RxNORM
82567,10174003,"SNOMED NP",N/A,"10174003SNOMED NP"
84867,101904001,"SNOMED CT",N/A,"101904001SNOMED CT"
84554,10256,RxNORM,N/A,10256RxNORM
75843,10270000,"SNOMED CT",N/A,"10270000SNOMED CT"
82084,103244,RxNORM,N/A,103244RxNORM
103577,103577,CIEL,N/A,103577CIEL
79783,103866,RxNORM,N/A,103866RxNORM
84879,10387,RxNORM,N/A,10387RxNORM
70039,1039008,"SNOMED CT",N/A,"1039008SNOMED CT"
70039,103,RxNORM,N/A,103RxNORM
104128,104128,CIEL,N/A,104128CIEL
104315,104315,CIEL,N/A,104315CIEL
71138,104416,RxNORM,N/A,104416RxNORM
104565,104565,CIEL,N/A,104565CIEL
104567,104567,CIEL,N/A,104567CIEL
104584,104584,CIEL,N/A,104584CIEL
104600,104600,CIEL,N/A,104600CIEL
104625,104625,CIEL,N/A,104625CIEL
104627,104627,CIEL,N/A,104627CIEL
73331,104728,RxNORM,N/A,104728RxNORM
104745,104745,CIEL,N/A,104745CIEL
85013,10485,RxNORM,N/A,10485RxNORM
104937,104937,CIEL,N/A,104937CIEL
105232,105232,CIEL,N/A,105232CIEL
105281,105281,CIEL,N/A,105281CIEL
72621,106212,RxNORM,N/A,106212RxNORM
82215,106467,RxNORM,N/A,106467RxNORM
85286,10691,RxNORM,N/A,10691RxNORM
77038,10712001,"SNOMED CT",N/A,"10712001SNOMED CT"
84323,107129,RxNORM,N/A,107129RxNORM
83405,108386000,"SNOMED CT",N/A,"108386000SNOMED CT"
81074,108418007,"SNOMED NP",N/A,"108418007SNOMED NP"
71138,108537001,"SNOMED NP",N/A,"108537001SNOMED NP"
79549,108542,RxNORM,N/A,108542RxNORM
72248,108548008,"SNOMED CT",N/A,"108548008SNOMED CT"
72484,108622005,"SNOMED CT",N/A,"108622005SNOMED CT"
78200,108624006,"SNOMED CT",N/A,"108624006SNOMED CT"
79053,108652002,"SNOMED CT",N/A,"108652002SNOMED CT"
83352,108684009,"SNOMED CT",N/A,"108684009SNOMED CT"
84309,108690008,"SNOMED CT",N/A,"108690008SNOMED CT"
83412,108693005,"SNOMED CT",N/A,"108693005SNOMED CT"
77996,108696002,"SNOMED CT",N/A,"108696002SNOMED CT"
78643,108698001,"SNOMED CT",N/A,"108698001SNOMED CT"
85597,10869,RxNORM,N/A,10869RxNORM
83690,108700005,"SNOMED CT",N/A,"108700005SNOMED CT"
80586,108704001,"SNOMED CT",N/A,"108704001SNOMED CT"
75535,108715006,"SNOMED CT",N/A,"108715006SNOMED CT"
73193,108729007,"SNOMED CT",N/A,"108729007SNOMED CT"
82886,108731003,"SNOMED NP",N/A,"108731003SNOMED NP"
77922,108757000,"SNOMED CT",N/A,"108757000SNOMED CT"
72876,108759002,"SNOMED CT",N/A,"108759002SNOMED CT"
75106,108806006,"SNOMED CT",N/A,"108806006SNOMED CT"
79620,108821000,"SNOMED CT",N/A,"108821000SNOMED CT"
78677,108838001,"SNOMED CT",N/A,"108838001SNOMED CT"
84825,108925005,"SNOMED CT",N/A,"108925005SNOMED CT"
84825,108927002,"SNOMED NP",N/A,"108927002SNOMED NP"
73350,108943009,"SNOMED CT",N/A,"108943009SNOMED CT"
85286,109006003,"SNOMED CT",N/A,"109006003SNOMED CT"
78796,109032009,"SNOMED CT",N/A,"109032009SNOMED CT"
77725,109066000,"SNOMED CT",N/A,"109066000SNOMED CT"
70035,109069007,"SNOMED CT",N/A,"109069007SNOMED CT"
76624,109100006,"SNOMED CT",N/A,"109100006SNOMED CT"
70942,109119001,"SNOMED CT",N/A,"109119001SNOMED CT"
78151,109218004,"SNOMED CT",N/A,"109218004SNOMED CT"
86022,10953,RxNORM,N/A,10953RxNORM
82215,109,"HL-7 CVX",N/A,"109HL-7 CVX"
85950,11002,RxNORM,N/A,11002RxNORM
1108,1108,AMPATH,N/A,1108AMPATH
1108,1108,CIEL,N/A,1108CIEL
78632,111137007,"SNOMED CT",N/A,"111137007SNOMED CT"
77054,111138002,"SNOMED CT",N/A,"111138002SNOMED CT"
82384,111144003,"SNOMED CT",N/A,"111144003SNOMED CT"
78743,111157006,"SNOMED CT",N/A,"111157006SNOMED CT"
82243,111164008,"SNOMED CT",N/A,"111164008SNOMED CT"
86052,11118,RxNORM,N/A,11118RxNORM
1194,1111,AMPATH,N/A,1111AMPATH
86145,11153,RxNORM,N/A,11153RxNORM
1108,11175,"RxNORM Comb",N/A,"11175RxNORM Comb"
86262,11199,RxNORM,N/A,11199RxNORM
86267,11203,RxNORM,N/A,11203RxNORM
84879,112,"HL-7 CVX",N/A,"112HL-7 CVX"
1131,113110001050099,"SNOMED MVP",N/A,"113110001050099SNOMED MVP"
1131,1131,AMPATH,N/A,1131AMPATH
1131,1131,CIEL,N/A,1131CIEL
1131,1131,PIH,N/A,1131PIH
86663,11413,RxNORM,N/A,11413RxNORM
86417,114194,RxNORM,N/A,114194RxNORM
71589,1151,RxNORM,N/A,1151RxNORM
71602,1156,RxNORM,N/A,1156RxNORM
83533,116077000,"SNOMED CT",N/A,"116077000SNOMED CT"
75523,116078005,"SNOMED CT",N/A,"116078005SNOMED CT"
81239,116113006,"SNOMED NP",N/A,"116113006SNOMED NP"
104565,1161286,RxNORM,N/A,1161286RxNORM
74715,116178008,"SNOMED CT",N/A,"116178008SNOMED CT"
73593,116520006,"SNOMED CT",N/A,"116520006SNOMED CT"
82083,116539001,"SNOMED CT",N/A,"116539001SNOMED CT"
71917,116575004,"SNOMED NP",N/A,"116575004SNOMED NP"
1194,1194,AMPATH,N/A,1194AMPATH
1194,1194,CIEL,N/A,1194CIEL
1194,1194,PIH,N/A,1194PIH
81726,11986009,"SNOMED NP",N/A,"11986009SNOMED NP"
81702,120608,RxNORM,N/A,120608RxNORM
80945,12096000,"SNOMED CT",N/A,"12096000SNOMED CT"
71671,1219,RxNORM,N/A,1219RxNORM
450,1227,AMPATH,N/A,1227AMPATH
161939,12289007,"SNOMED CT",N/A,"12289007SNOMED CT"
74657,12391001,"SNOMED CT",N/A,"12391001SNOMED CT"
