concept_id,code,source,datatype,source_code
102,102,AMPATH,N/A,102AMPATH
102,102,CIEL,N/A,102CIEL
127750,105480006,"SNOMED CT",Boolean,"105480006SNOMED CT"
127750,127750,CIEL,Boolean,127750CIEL
159598,1434,AMPATH,N/A,1434AMPATH
1434,1434,CIEL,Boolean,1434CIEL
127750,1483,PIH,Boolean,1483PIH
1434,1484,AMPATH,Boolean,1484AMPATH
159598,159598,CIEL,N/A,159598CIEL
160016,160016,CIEL,N/A,160016CIEL
160559,160559,CIEL,N/A,160559CIEL
160561,160561,CIEL,N/A,160561CIEL
160566,160566,CIEL,Boolean,160566CIEL
160567,160567,CIEL,N/A,160567CIEL
160569,160569,CIEL,Boolean,160569CIEL
161236,161236,CIEL,N/A,161236CIEL
162081,162081,CIEL,N/A,162081CIEL
163523,163523,CIEL,Coded,163523CIEL
1754,17541000105004,"SNOMED MVP",Coded,"17541000105004SNOMED MVP"
1754,1754,CIEL,Coded,1754CIEL
160559,1760,PIH,N/A,1760PIH
1754,1761,PIH,Coded,1761PIH
160561,1762,PIH,N/A,1762PIH
160567,1763,PIH,N/A,1763PIH
160566,1764,PIH,Boolean,1764PIH
160569,1765,PIH,Boolean,1765PIH
1754,182856006,"SNOMED CT",Coded,"182856006SNOMED CT"
160566,182985004,"SNOMED NP",Boolean,"182985004SNOMED NP"
843,266721009,"SNOMED CT",N/A,"266721009SNOMED CT"
162081,27582007,"SNOMED CT",N/A,"27582007SNOMED CT"
159598,275936005,"SNOMED CT",N/A,"275936005SNOMED CT"
160559,281694009,"SNOMED NP",N/A,"281694009SNOMED NP"
160561,309298003,"SNOMED NP",N/A,"309298003SNOMED NP"
127750,332345,"IMO ProblemIT",Boolean,"332345IMO ProblemIT"
102,381740,"IMO ProblemIT",N/A,"381740IMO ProblemIT"
161236,394848005,"SNOMED CT",N/A,"394848005SNOMED CT"
1434,52609,"IMO ProblemIT",Boolean,"52609IMO ProblemIT"
5622,56221000105001,"SNOMED MVP",N/A,"56221000105001SNOMED MVP"
5622,5622,AMPATH,N/A,5622AMPATH
5622,5622,CIEL,N/A,5622CIEL
5622,5622,PIH,N/A,5622PIH
5622,6408,"PIH Malawi",N/A,"6408PIH Malawi"
5622,74964007,"SNOMED NP",N/A,"74964007SNOMED NP"
1434,77386006,"SNOMED CT",Boolean,"77386006SNOMED CT"
102,7895008,"SNOMED CT",N/A,"7895008SNOMED CT"
843,843,AMPATH,N/A,843AMPATH
843,843,CIEL,N/A,843CIEL
843,843,PIH,N/A,843PIH
843,FAILED,org.openmrs.module.mdrtb,N/A,FAILEDorg.openmrs.module.mdrtb
5622,OTHER,org.openmrs.module.mdrtb,N/A,OTHERorg.openmrs.module.mdrtb
102,R89.2,ICD-10-WHO,N/A,R89.2ICD-10-WHO
1434,Z33,ICD-10-WHO,Boolean,Z33ICD-10-WHO
127750,Z53.2,ICD-10-WHO,Boolean,Z53.2ICD-10-WHO
