concept_id,code,source,datatype,source_code
160531,10154-3,LOINC,Text,10154-3LOINC
160593,10157-6,LOINC,N/A,10157-6LOINC
159615,10187-3,LOINC,Coded,10187-3LOINC
1030,10301000105005,"SNOMED MVP",Coded,"10301000105005SNOMED MVP"
1030,1030,AMPATH,Coded,1030AMPATH
1030,1030,CIEL,Coded,1030CIEL
1048,1048,AMPATH,Boolean,1048AMPATH
1048,1048,CIEL,Boolean,1048CIEL
1053,1053,AMPATH,Numeric,1053AMPATH
1053,1053,CIEL,Numeric,1053CIEL
1053,1053,"PIH Malawi",Numeric,"1053PIH Malawi"
1712,105421008,"SNOMED CT",Coded,"105421008SNOMED CT"
1054,1054,AMPATH,Coded,1054AMPATH
1054,1054,CIEL,Coded,1054CIEL
1054,1054,"PIH Malawi",Coded,"1054PIH Malawi"
161440,1060258,"IMO ProcedureIT",Coded,"1060258IMO ProcedureIT"
159947,106229004,"SNOMED NP",N/A,"106229004SNOMED NP"
304,1069834,"IMO ProcedureIT",Coded,"1069834IMO ProcedureIT"
304,10704-5,LOINC,Coded,10704-5LOINC
1085,1085,AMPATH,N/A,1085AMPATH
1085,1085,CIEL,N/A,1085CIEL
1085,1085,PIH,N/A,1085PIH
1086,10861000105004,"SNOMED MVP",Coded,"10861000105004SNOMED MVP"
1086,1086,AMPATH,Coded,1086AMPATH
1086,1086,CIEL,Coded,1086CIEL
1088,1088,AMPATH,Coded,1088AMPATH
1088,1088,CIEL,Coded,1088CIEL
1088,1088,PIH,Coded,1088PIH
1109,11091000105008,"SNOMED MVP",Coded,"11091000105008SNOMED MVP"
1109,1109,AMPATH,Coded,1109AMPATH
1109,1109,CIEL,Coded,1109CIEL
1111,11111000105001,"SNOMED MVP",Coded,"11111000105001SNOMED MVP"
1111,1111,AMPATH,Coded,1111AMPATH
1111,1111,CIEL,Coded,1111CIEL
1111,1111,PIH,Coded,1111PIH
1113,11131000105005,"SNOMED MVP",Date,"11131000105005SNOMED MVP"
1113,1113,AMPATH,Date,1113AMPATH
1113,1113,CIEL,Date,1113CIEL
1113,1113,PIH,Date,1113PIH
1120,1120,AMPATH,Coded,1120AMPATH
1120,1120,CIEL,Coded,1120CIEL
1123,1123,AMPATH,Coded,1123AMPATH
1123,1123,CIEL,Coded,1123CIEL
1125,1125,AMPATH,Coded,1125AMPATH
1125,1125,CIEL,Coded,1125CIEL
112603,112603,CIEL,Coded,112603CIEL
790,113075003,"SNOMED NP",Numeric,"113075003SNOMED NP"
5272,11449-6,LOINC,Coded,11449-6LOINC
307,11477-7,LOINC,Coded,11477-7LOINC
1148,11481000105001,"SNOMED MVP",Coded,"11481000105001SNOMED MVP"
1148,1148,AMPATH,Coded,1148AMPATH
1148,1148,CIEL,Coded,1148CIEL
1151,1151,AMPATH,Coded,1151AMPATH
1151,1151,CIEL,Coded,1151CIEL
1154,11541000105006,"SNOMED MVP",Boolean,"11541000105006SNOMED MVP"
1154,1154,AMPATH,Boolean,1154AMPATH
1154,1154,CIEL,Boolean,1154CIEL
