concept_id,code,source,datatype
1,1,MCL/CIEL,N/A
1,1,local,N/A
2,2,local,N/A
2,2,MCL/CIEL,N/A
3,3,local,N/A
3,121629,MCL/CIEL,N/A
4,4,MCL/CIEL,N/A
4,4,local,N/A
5,121375,MCL/CIEL,N/A
5,5,local,N/A
6,6,local,N/A
7,7,MCL/CIEL,N/A
7,7,local,N/A
8,8,MCL/CIEL,N/A
8,8,local,N/A
9,9,local,Numeric
10,10,local,N/A
10,10,MCL/CIEL,N/A
11,11,MCL/CIEL,N/A
11,11,local,N/A
12,12,MCL/CIEL,Coded
12,12,local,Coded
13,13,local,N/A
14,14,local,N/A
14,149004,MCL/CIEL,N/A
15,15,local,N/A
16,16,local,N/A
16,142412,MCL/CIEL,N/A
17,17,MCL/CIEL,N/A
17,17,local,N/A
18,18,local,N/A
19,19,local,N/A
20,20,local,N/A
21,21,MCL/CIEL,Numeric
21,21,local,Numeric
22,22,MCL/CIEL,N/A
22,22,local,N/A
23,23,local,N/A
24,24,local,N/A
25,25,local,N/A
26,123107,MCL/CIEL,N/A
26,26,local,N/A
27,111759,MCL/CIEL,N/A
27,27,local,N/A
28,28,local,N/A
28,28,MCL/CIEL,N/A
29,116986,MCL/CIEL,N/A
29,29,local,N/A
30,30,local,N/A
31,31,MCL/CIEL,N/A
31,31,local,N/A
32,32,local,Coded
32,32,MCL/CIEL,Coded
33,33,local,N/A
34,34,local,N/A
35,35,local,N/A
36,36,MCL/CIEL,N/A
36,36,local,N/A
37,37,MCL/CIEL,N/A
37,37,local,N/A
38,38,local,N/A
39,39,local,N/A
40,40,local,N/A
41,41,local,Coded
42,42,MCL/CIEL,N/A
42,42,local,N/A
43,43,local,N/A
43,114100,MCL/CIEL,N/A
44,44,local,N/A
45,45,local,Coded
45,45,MCL/CIEL,Coded
46,46,local,N/A
46,46,MCL/CIEL,N/A
47,47,local,N/A
47,47,MCL/CIEL,N/A
48,48,MCL/CIEL,N/A
48,48,local,N/A
49,230,MCL/CIEL,N/A
49,49,local,N/A
50,50,local,N/A
50,50,MCL/CIEL,N/A
51,51,local,N/A
52,52,local,N/A
53,53,local,Coded
54,54,local,Text
54,54,MCL/CIEL,Text
55,111633,MCL/CIEL,N/A
55,55,local,N/A
56,56,MCL/CIEL,Coded
56,56,local,Coded
57,122759,MCL/CIEL,N/A
57,57,local,N/A
58,58,local,N/A
58,112141,MCL/CIEL,N/A
59,59,local,N/A
60,115835,MCL/CIEL,N/A
60,60,local,N/A
61,61,local,N/A
62,62,local,N/A
63,134561,MCL/CIEL,N/A
63,63,local,N/A
64,133671,MCL/CIEL,N/A
64,64,local,N/A
65,65,local,N/A
66,66,local,N/A
67,67,local,N/A
68,115122,MCL/CIEL,N/A
68,68,local,N/A
69,69,local,N/A
70,120860,MCL/CIEL,N/A
70,70,local,N/A
71,71,MCL/CIEL,N/A
71,71,local,N/A
72,72,local,N/A
73,73,local,N/A
74,74,local,N/A
75,75,local,N/A
75,115327,MCL/CIEL,N/A
76,76,local,N/A
77,77,MCL/CIEL,N/A
77,77,local,N/A
78,78,local,N/A
78,78,MCL/CIEL,N/A
79,79,MCL/CIEL,N/A
79,79,MCL/CIEL,N/A
80,80,MCL/CIEL,N/A
80,80,local,N/A
81,81,MCL/CIEL,N/A
81,81,local,N/A
82,82,local,N/A
83,83,MCL/CIEL,N/A
84,84,MCL/CIEL,N/A
84,84,local,N/A
86,133924,MCL/CIEL,N/A
86,86,MCL/CIEL,N/A
87,87,local,N/A
87,924,MCL/CIEL,N/A
88,88,local,N/A
88,71617,MCL/CIEL,N/A
89,70116,MCL/CIEL,N/A
89,89,local,N/A
91,85498,MCL/CIEL,N/A
91,91,local,N/A
92,92,local,N/A
92,74250,MCL/CIEL,N/A
94,82384,MCL/CIEL,N/A
95,75222,MCL/CIEL,N/A
95,95,local,N/A
96,96,local,N/A
96,79507,MCL/CIEL,N/A
97,97,MCL/CIEL,N/A
97,97,local,N/A
98,73300,MCL/CIEL,N/A
98,98,local,N/A
